timestamp,IFS/IAD_BP6_USD_A/USA
1976-01-01,136743000000
1977-01-01,162860000000
1978-01-01,189868000000
1979-01-01,230060000000
1980-01-01,297349000000
1981-01-01,239080000000
1982-01-01,295981000000
1983-01-01,351325000000
1984-01-01,357920000000
1985-01-01,475693000000
1986-01-01,615138000000
1987-01-01,681751000000
1988-01-01,782947000000
1989-01-01,929965000000
1990-01-01,853331000000
1991-01-01,962582000000
1992-01-01,943364000000
1993-01-01,1204611000000
1994-01-01,1234084000000
1995-01-01,1493609000000
1996-01-01,1749299000000
1997-01-01,2036671000000
1998-01-01,2469095000000
1999-01-01,3051404000000
2000-01-01,2934570000000
2001-01-01,2554463000000
2002-01-01,2283141000000
2003-01-01,3037312000000
2004-01-01,3746863000000
2005-01-01,4047170000000
2006-01-01,4929892000000
2007-01-01,5857923000000
2008-01-01,3707211000000
2009-01-01,4945292000000
2010-01-01,5486391000000
2011-01-01,5214826000000
2012-01-01,5969502000000
2013-01-01,7120688000000
2014-01-01,7242129000000
2015-01-01,7057108000000
2016-01-01,7403191000000
2017-01-01,8893940000000
2018-01-01,7417363000000
2019-01-01,8668834000000
2020-01-01,9349445000000
2021-01-01,10925509000000
2022-01-01,9276999000000
